Brand,Units,Price
East,523,5806200.3
Big,344,3248569.16
Liberty,138,706385.55
Quality,129,1145878.1
TrailMax,123,2111701.28
ED,116,1356679.9
Spartan,104,719133.98
RawMaxx,76,999470.43
High,63,596770.0
PJ,61,622600.23
GPS,54,312350.0
Delco,51,612361.84
Stealth,45,522202.83
Iron,45,430052.92
Haulmark,25,248977.28
TXP,23,149329.0
Diamond,21,142560.96
Trailmaxx,20,322820.0
REPO,20,133685.0
Horizon,18,230223.0
Texas,16,77815.34
South,12,140023.02
Stagecoach,11,163234.0
Rock,9,134306.82
Norstar,9,102663.53
TrailMaxx,5,64225.0
Freedom,5,52316.31
L&O,5,17976.68
Davidson,4,93861.0
A&R,4,60797.0
BigTex,3,58985.0
Performance,3,43829.0
DEEP,3,33000.0
Cardinal,3,28053.0
Load,3,3885.0
Southern,2,25900.0
Patriot,2,25200.0
Wells,2,20409.0
5x10,2,16500.0
Stallion,2,14846.0
Steel,2,8999.0
A,2,0.0
Maxxim,1,26250.0
Sure,1,21495.0
Deep,1,13610.0
40ft,1,13500.0
Rawmaxx,1,13500.0
TuffDump,1,13215.0
Anvil,1,13150.0
American,1,12300.0
7'x16ft,1,11995.0
8.5x24,1,11650.0
Road,1,11075.0
7'x14ft,1,10995.0
Platinum,1,9495.0
7x14,1,7450.0
20ft,1,6390.0
Gatormade,1,4445.88
Tiger,1,4288.0
"77""x16ft",1,3795.0
TEXAS,1,3200.0
DIAMOND,1,0.0
STEALTH,1,0.0
